"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","10.02","10.20","10.48","9.98","2.46M","-3.93%"
"07/08/2024","10.43","9.96","11.19","9.57","6.33M","-0.57%"
"07/05/2024","10.49","9.66","10.53","9.43","2.99M","9.27%"
"07/03/2024","9.60","9.37","9.90","9.31","1.55M","3.23%"
"07/02/2024","9.30","9.50","9.59","8.93","1.96M","-2.72%"
"07/01/2024","9.56","9.19","9.74","9.12","2.20M","2.80%"
"06/28/2024","9.30","9.51","9.59","9.01","6.73M","-1.27%"
"06/27/2024","9.42","9.25","9.46","8.99","1.95M","1.40%"
"06/26/2024","9.29","9.60","9.85","9.10","2.22M","-3.23%"
"06/25/2024","9.60","8.84","9.63","8.56","2.83M","8.11%"
"06/24/2024","8.88","8.59","9.08","8.53","2.45M","4.59%"
"06/21/2024","8.49","8.31","8.66","8.21","8.67M","2.54%"
"06/20/2024","8.28","8.10","8.47","7.89","1.81M","1.60%"
"06/18/2024","8.15","7.90","8.17","7.64","1.98M","2.39%"
"06/17/2024","7.96","8.62","8.62","7.74","3.07M","-7.76%"
"06/14/2024","8.63","9.25","9.49","8.52","2.78M","-7.60%"
"06/13/2024","9.34","8.07","9.37","7.99","5.05M","15.31%"
"06/12/2024","8.10","8.07","8.24","7.94","1.83M","4.11%"
"06/11/2024","7.78","7.48","7.90","7.41","1.56M","3.18%"
"06/10/2024","7.54","7.12","7.56","6.99","2.13M","4.14%"
"06/07/2024","7.24","7.50","7.53","7.22","1.70M","-4.74%"
"06/06/2024","7.60","7.95","7.99","7.50","2.36M","-4.64%"
"06/05/2024","7.97","7.92","8.23","7.83","1.71M","1.14%"
"06/04/2024","7.88","8.00","8.29","7.86","1.91M","-3.55%"
"06/03/2024","8.17","8.40","8.76","8.00","3.13M","-2.27%"
"05/31/2024","8.36","8.71","8.89","8.03","5.12M","-3.46%"
"05/30/2024","8.66","8.69","8.88","8.53","2.12M","0.81%"
"05/29/2024","8.59","8.74","8.85","8.30","2.61M","-3.27%"
"05/28/2024","8.88","9.33","9.53","8.85","2.27M","-3.06%"
"05/24/2024","9.16","9.17","9.35","8.95","1.71M","0.88%"
"05/23/2024","9.08","9.96","10.02","9.05","2.55M","-8.47%"
"05/22/2024","9.92","9.52","10.77","9.52","4.54M","4.64%"
"05/21/2024","9.48","9.25","9.58","9.06","2.36M","1.39%"
"05/20/2024","9.35","9.21","9.59","9.06","2.04M","1.63%"
"05/17/2024","9.20","9.10","9.30","8.51","3.45M","0.88%"
"05/16/2024","9.12","9.25","9.62","8.82","4.31M","-1.30%"
"05/15/2024","9.24","9.42","10.13","8.90","13.90M","13.65%"
"05/14/2024","8.13","8.14","8.46","7.99","4.66M","1.75%"
"05/13/2024","7.99","7.92","8.14","7.70","2.34M","1.91%"
"05/10/2024","7.84","8.01","8.53","7.84","2.54M","-2.24%"
"05/09/2024","8.02","8.00","8.30","7.95","2.90M","0.38%"
"05/08/2024","7.99","7.74","8.08","7.65","2.34M","1.40%"
"05/07/2024","7.88","7.97","8.06","7.56","1.64M","-0.88%"
"05/06/2024","7.95","7.92","8.04","7.47","3.38M","-0.63%"
"05/03/2024","8.00","8.79","9.10","7.97","2.60M","-6.98%"
"05/02/2024","8.60","8.88","9.22","8.42","1.74M","-2.71%"
"05/01/2024","8.84","8.41","9.38","8.32","2.80M","6.25%"
"04/30/2024","8.32","8.69","8.81","8.30","1.76M","-5.24%"
"04/29/2024","8.78","8.49","8.84","8.35","2.12M","3.66%"
"04/26/2024","8.47","8.59","8.85","8.36","2.16M","-1.40%"
"04/25/2024","8.59","8.46","8.71","8.21","2.25M","-1.83%"
"04/24/2024","8.75","8.82","9.10","8.74","2.00M","0.11%"
"04/23/2024","8.74","9.02","9.30","8.72","1.60M","-2.24%"
"04/22/2024","8.94","9.18","9.28","8.74","1.23M","-1.76%"
"04/19/2024","9.10","9.36","9.45","8.44","4.52M","-3.70%"
"04/18/2024","9.45","10.30","10.38","9.31","2.92M","-7.80%"
"04/17/2024","10.25","10.18","10.34","9.97","2.52M","1.49%"
"04/16/2024","10.10","9.91","10.33","9.75","1.86M","0.10%"
"04/15/2024","10.09","10.18","10.47","9.95","2.69M","-1.08%"
"04/12/2024","10.20","11.77","11.78","9.82","4.16M","-14.14%"
"04/11/2024","11.88","12.38","12.56","11.81","2.74M","-3.73%"
"04/10/2024","12.34","11.78","12.47","11.41","2.79M","-1.20%"
"04/09/2024","12.49","12.48","13.17","12.30","3.99M","-0.32%"
"04/08/2024","12.53","11.39","12.62","11.30","4.91M","10.49%"
"04/05/2024","11.34","10.66","11.79","10.38","3.47M","5.49%"
"04/04/2024","10.75","9.74","10.86","9.73","4.07M","11.63%"
"04/03/2024","9.63","9.37","9.78","9.20","1.64M","2.45%"
"04/02/2024","9.40","9.40","9.48","9.28","2.02M","-2.89%"
"04/01/2024","9.68","9.96","10.00","9.16","3.08M","-2.32%"
"03/28/2024","9.91","9.67","10.02","9.61","3.72M","3.34%"
"03/27/2024","9.59","9.40","9.81","9.23","2.33M","3.45%"
"03/26/2024","9.27","9.39","9.52","9.10","2.77M","0.11%"
"03/25/2024","9.26","9.75","10.10","9.09","3.71M","-3.64%"
"03/22/2024","9.61","10.28","10.71","9.57","3.35M","-5.60%"
